"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 12:31:28 GMT 2024","Tue Feb 13 12:31:30 GMT 2024","2102","","Transactions tests","","","","should create new request transaction",""
"passed","Tue Feb 13 12:31:31 GMT 2024","Tue Feb 13 12:31:34 GMT 2024","2360","","Transactions tests","","","","should add another comment to transaction",""
"passed","Tue Feb 13 12:31:30 GMT 2024","Tue Feb 13 12:31:30 GMT 2024","154","","Bank accounts tests","","","","""before each"" hook for Bank accounts tests",""
"passed","Tue Feb 13 12:31:14 GMT 2024","Tue Feb 13 12:31:23 GMT 2024","9414","","Transactions tests","","","","""before all"" hook for Transactions tests",""
"passed","Tue Feb 13 12:31:23 GMT 2024","Tue Feb 13 12:31:28 GMT 2024","4142","","Transactions tests","","","","should create new pay transaction",""
"passed","Tue Feb 13 12:31:23 GMT 2024","Tue Feb 13 12:31:27 GMT 2024","3383","","Bank accounts tests","","","","should create bank account with wrong routing number",""
"failed","Tue Feb 13 12:31:14 GMT 2024","Tue Feb 13 12:31:31 GMT 2024","16483","","Notifications test","","","","should dismiss notification",""
"passed","Tue Feb 13 12:31:30 GMT 2024","Tue Feb 13 12:31:31 GMT 2024","1657","","Transactions tests","","","","should add comment to transaction",""
"passed","Tue Feb 13 12:31:32 GMT 2024","Tue Feb 13 12:31:34 GMT 2024","1825","","Registration tests","","","","should sign up with wrong confirmed password",""
"passed","Tue Feb 13 12:31:30 GMT 2024","Tue Feb 13 12:31:31 GMT 2024","986","","Bank accounts tests","","","","should delete bank account",""
"passed","Tue Feb 13 12:31:14 GMT 2024","Tue Feb 13 12:31:23 GMT 2024","9202","","Bank accounts tests","","","","""before all"" hook for Bank accounts tests",""
"passed","Tue Feb 13 12:31:27 GMT 2024","Tue Feb 13 12:31:29 GMT 2024","1902","","Bank accounts tests","","","","should create bank account with wrong account number",""
"passed","Tue Feb 13 12:31:26 GMT 2024","Tue Feb 13 12:31:28 GMT 2024","1492","","User settings tests","","","","should change user firstname",""
"passed","Tue Feb 13 12:31:14 GMT 2024","Tue Feb 13 12:31:24 GMT 2024","9504","","Registration tests","","","","try to sign up without username",""
"passed","Tue Feb 13 12:31:31 GMT 2024","Tue Feb 13 12:31:33 GMT 2024","1774","","Login tests","","","","should logout",""
"passed","Tue Feb 13 12:31:24 GMT 2024","Tue Feb 13 12:31:32 GMT 2024","8440","","Registration tests","","","","should sign up with valid credentials",""
"passed","Tue Feb 13 12:31:34 GMT 2024","Tue Feb 13 12:31:34 GMT 2024","203","","Transactions tests","","","","""before each"" hook for Transactions tests",""
"failed","Tue Feb 13 12:31:23 GMT 2024","Tue Feb 13 12:31:26 GMT 2024","3175","","User settings tests","","","","should change user firstname and lastname",""
"passed","Tue Feb 13 12:31:25 GMT 2024","Tue Feb 13 12:31:29 GMT 2024","4099","","Login tests","","","","should login with invalid username",""
"passed","Tue Feb 13 12:31:34 GMT 2024","Tue Feb 13 12:31:34 GMT 2024","567","","Transactions tests","","","","should like transaction",""
"passed","Tue Feb 13 12:31:32 GMT 2024","Tue Feb 13 12:31:33 GMT 2024","732","","Registration tests","","","","""before each"" hook for Registration tests",""
"passed","Tue Feb 13 12:31:14 GMT 2024","Tue Feb 13 12:31:23 GMT 2024","9178","","User settings tests","","","","""before all"" hook for User settings tests",""
"passed","Tue Feb 13 12:31:31 GMT 2024","Tue Feb 13 12:31:32 GMT 2024","573","","Login tests","","","","""before each"" hook for Login tests",""
"passed","Tue Feb 13 12:31:29 GMT 2024","Tue Feb 13 12:31:30 GMT 2024","1577","","Bank accounts tests","","","","should create new bank account",""
"failed","Tue Feb 13 12:31:28 GMT 2024","Tue Feb 13 12:31:29 GMT 2024","1206","","User settings tests","","","","should change user lastname",""
"passed","Tue Feb 13 12:31:14 GMT 2024","Tue Feb 13 12:31:25 GMT 2024","10597","","Login tests","","","","should login with valid credentials",""
"passed","Tue Feb 13 12:31:29 GMT 2024","Tue Feb 13 12:31:31 GMT 2024","2334","","Login tests","","","","should login with invalid password",""
