"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 14:04:18 GMT 2024","Tue Feb 13 14:04:20 GMT 2024","2220","","Transactions tests","","","","should create new request transaction",""
"passed","Tue Feb 13 14:04:21 GMT 2024","Tue Feb 13 14:04:24 GMT 2024","2577","","User settings tests","","","","should change user lastname",""
"passed","Tue Feb 13 14:04:21 GMT 2024","Tue Feb 13 14:04:22 GMT 2024","1057","","Login tests","","","","""before each"" hook for Login tests",""
"passed","Tue Feb 13 14:04:21 GMT 2024","Tue Feb 13 14:04:21 GMT 2024","246","","Bank accounts tests","","","","""before each"" hook for Bank accounts tests",""
"failed","Tue Feb 13 14:04:21 GMT 2024","Tue Feb 13 14:04:23 GMT 2024","2187","","Bank accounts tests","","","","should delete bank account",""
"failed","Tue Feb 13 14:04:21 GMT 2024","Tue Feb 13 14:04:24 GMT 2024","3082","","Login tests","","","","should logout",""
"passed","Tue Feb 13 14:04:18 GMT 2024","Tue Feb 13 14:04:21 GMT 2024","2732","","Login tests","","","","should login with invalid password",""
"passed","Tue Feb 13 14:04:04 GMT 2024","Tue Feb 13 14:04:13 GMT 2024","9383","","User settings tests","","","","""before all"" hook for User settings tests",""
"passed","Tue Feb 13 14:04:18 GMT 2024","Tue Feb 13 14:04:20 GMT 2024","1368","","Bank accounts tests","","","","should create bank account with wrong account number",""
"passed","Tue Feb 13 14:04:04 GMT 2024","Tue Feb 13 14:04:13 GMT 2024","9566","","Registration tests","","","","try to sign up without username",""
"passed","Tue Feb 13 14:04:15 GMT 2024","Tue Feb 13 14:04:18 GMT 2024","3471","","Login tests","","","","should login with invalid username",""
"passed","Tue Feb 13 14:04:22 GMT 2024","Tue Feb 13 14:04:25 GMT 2024","2998","","Registration tests","","","","should sign up with wrong confirmed password",""
"failed","Tue Feb 13 14:04:04 GMT 2024","Tue Feb 13 14:04:17 GMT 2024","13381","","Notifications test","","","","should dismiss notification",""
"passed","Tue Feb 13 14:04:04 GMT 2024","Tue Feb 13 14:04:15 GMT 2024","10719","","Login tests","","","","should login with valid credentials",""
"passed","Tue Feb 13 14:04:25 GMT 2024","Tue Feb 13 14:04:25 GMT 2024","158","","Transactions tests","","","","""before each"" hook for Transactions tests",""
"passed","Tue Feb 13 14:04:20 GMT 2024","Tue Feb 13 14:04:22 GMT 2024","1863","","Transactions tests","","","","should add comment to transaction",""
"passed","Tue Feb 13 14:04:04 GMT 2024","Tue Feb 13 14:04:13 GMT 2024","9315","","Transactions tests","","","","""before all"" hook for Transactions tests",""
"passed","Tue Feb 13 14:04:21 GMT 2024","Tue Feb 13 14:04:21 GMT 2024","255","","User settings tests","","","","""before each"" hook for User settings tests",""
"passed","Tue Feb 13 14:04:04 GMT 2024","Tue Feb 13 14:04:13 GMT 2024","9305","","Bank accounts tests","","","","""before all"" hook for Bank accounts tests",""
"passed","Tue Feb 13 14:04:22 GMT 2024","Tue Feb 13 14:04:23 GMT 2024","1580","","Registration tests","","","","""before each"" hook for Registration tests",""
"passed","Tue Feb 13 14:04:19 GMT 2024","Tue Feb 13 14:04:21 GMT 2024","2004","","User settings tests","","","","should change user firstname",""
"passed","Tue Feb 13 14:04:20 GMT 2024","Tue Feb 13 14:04:21 GMT 2024","1417","","Bank accounts tests","","","","should create new bank account",""
"passed","Tue Feb 13 14:04:13 GMT 2024","Tue Feb 13 14:04:19 GMT 2024","5683","","User settings tests","","","","should change user firstname and lastname",""
"passed","Tue Feb 13 14:04:13 GMT 2024","Tue Feb 13 14:04:18 GMT 2024","4705","","Transactions tests","","","","should create new pay transaction",""
"passed","Tue Feb 13 14:04:13 GMT 2024","Tue Feb 13 14:04:22 GMT 2024","8100","","Registration tests","","","","should sign up with valid credentials",""
"passed","Tue Feb 13 14:04:13 GMT 2024","Tue Feb 13 14:04:18 GMT 2024","5081","","Bank accounts tests","","","","should create bank account with wrong routing number",""
"passed","Tue Feb 13 14:04:22 GMT 2024","Tue Feb 13 14:04:25 GMT 2024","2801","","Transactions tests","","","","should add another comment to transaction",""
"passed","Tue Feb 13 14:04:25 GMT 2024","Tue Feb 13 14:04:25 GMT 2024","583","","Transactions tests","","","","should like transaction",""
