"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 14:14:00 GMT 2024","Tue Feb 13 14:14:02 GMT 2024","2263","","Bank accounts tests","","","","should delete bank account",""
"passed","Tue Feb 13 14:13:43 GMT 2024","Tue Feb 13 14:13:52 GMT 2024","8825","","User settings tests","","","","""before all"" hook for User settings tests",""
"passed","Tue Feb 13 14:13:52 GMT 2024","Tue Feb 13 14:13:58 GMT 2024","5692","","User settings tests","","","","should change user firstname and lastname",""
"passed","Tue Feb 13 14:13:43 GMT 2024","Tue Feb 13 14:13:52 GMT 2024","8640","","Transactions tests","","","","""before all"" hook for Transactions tests",""
"passed","Tue Feb 13 14:14:03 GMT 2024","Tue Feb 13 14:14:04 GMT 2024","807","","Transactions tests","","","","should like transaction",""
"passed","Tue Feb 13 14:14:00 GMT 2024","Tue Feb 13 14:14:03 GMT 2024","2662","","User settings tests","","","","should change user lastname",""
"passed","Tue Feb 13 14:13:54 GMT 2024","Tue Feb 13 14:13:58 GMT 2024","3739","","Login tests","","","","should login with invalid username",""
"passed","Tue Feb 13 14:13:56 GMT 2024","Tue Feb 13 14:13:58 GMT 2024","2105","","Transactions tests","","","","should create new request transaction",""
"failed","Tue Feb 13 14:13:43 GMT 2024","Tue Feb 13 14:13:59 GMT 2024","16010","","Notifications test","","","","should dismiss notification",""
"passed","Tue Feb 13 14:14:00 GMT 2024","Tue Feb 13 14:14:00 GMT 2024","161","","User settings tests","","","","""before each"" hook for User settings tests",""
"passed","Tue Feb 13 14:13:52 GMT 2024","Tue Feb 13 14:13:57 GMT 2024","4967","","Bank accounts tests","","","","should create bank account with wrong routing number",""
"passed","Tue Feb 13 14:13:57 GMT 2024","Tue Feb 13 14:13:59 GMT 2024","1554","","Bank accounts tests","","","","should create bank account with wrong account number",""
"passed","Tue Feb 13 14:13:53 GMT 2024","Tue Feb 13 14:14:00 GMT 2024","7851","","Registration tests","","","","should sign up with valid credentials",""
"passed","Tue Feb 13 14:13:58 GMT 2024","Tue Feb 13 14:14:00 GMT 2024","1932","","Transactions tests","","","","should add comment to transaction",""
"passed","Tue Feb 13 14:14:03 GMT 2024","Tue Feb 13 14:14:04 GMT 2024","466","","Transactions tests","","","","""before each"" hook for Transactions tests",""
"passed","Tue Feb 13 14:13:59 GMT 2024","Tue Feb 13 14:14:00 GMT 2024","1304","","Bank accounts tests","","","","should create new bank account",""
"passed","Tue Feb 13 14:13:58 GMT 2024","Tue Feb 13 14:14:00 GMT 2024","2138","","User settings tests","","","","should change user firstname",""
"passed","Tue Feb 13 14:13:52 GMT 2024","Tue Feb 13 14:13:56 GMT 2024","4254","","Transactions tests","","","","should create new pay transaction",""
"passed","Tue Feb 13 14:13:58 GMT 2024","Tue Feb 13 14:14:00 GMT 2024","2788","","Login tests","","","","should login with invalid password",""
"passed","Tue Feb 13 14:14:00 GMT 2024","Tue Feb 13 14:14:02 GMT 2024","1176","","Registration tests","","","","""before each"" hook for Registration tests",""
"passed","Tue Feb 13 14:14:00 GMT 2024","Tue Feb 13 14:14:02 GMT 2024","1504","","Login tests","","","","""before each"" hook for Login tests",""
"passed","Tue Feb 13 14:14:00 GMT 2024","Tue Feb 13 14:14:03 GMT 2024","2968","","Transactions tests","","","","should add another comment to transaction",""
"passed","Tue Feb 13 14:13:43 GMT 2024","Tue Feb 13 14:13:54 GMT 2024","10374","","Login tests","","","","should login with valid credentials",""
"passed","Tue Feb 13 14:13:43 GMT 2024","Tue Feb 13 14:13:52 GMT 2024","8904","","Bank accounts tests","","","","""before all"" hook for Bank accounts tests",""
"passed","Tue Feb 13 14:14:00 GMT 2024","Tue Feb 13 14:14:04 GMT 2024","3583","","Login tests","","","","should logout",""
"passed","Tue Feb 13 14:13:43 GMT 2024","Tue Feb 13 14:13:53 GMT 2024","9096","","Registration tests","","","","try to sign up without username",""
"passed","Tue Feb 13 14:14:00 GMT 2024","Tue Feb 13 14:14:00 GMT 2024","199","","Bank accounts tests","","","","""before each"" hook for Bank accounts tests",""
"passed","Tue Feb 13 14:14:00 GMT 2024","Tue Feb 13 14:14:04 GMT 2024","3442","","Registration tests","","","","should sign up with wrong confirmed password",""
