"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 13 14:18:58 GMT 2024","Tue Feb 13 14:19:01 GMT 2024","2874","","Transactions tests","","","","should add another comment to transaction",""
"passed","Tue Feb 13 14:18:57 GMT 2024","Tue Feb 13 14:19:00 GMT 2024","2067","","Bank accounts tests","","","","should delete bank account",""
"passed","Tue Feb 13 14:18:51 GMT 2024","Tue Feb 13 14:18:56 GMT 2024","5652","","User settings tests","","","","should change user firstname and lastname",""
"passed","Tue Feb 13 14:18:50 GMT 2024","Tue Feb 13 14:18:54 GMT 2024","3885","","Transactions tests","","","","should create new pay transaction",""
"passed","Tue Feb 13 14:18:55 GMT 2024","Tue Feb 13 14:18:58 GMT 2024","3181","","Login tests","","","","should login with invalid password",""
"passed","Tue Feb 13 14:18:56 GMT 2024","Tue Feb 13 14:18:59 GMT 2024","2414","","User settings tests","","","","should change user firstname",""
"passed","Tue Feb 13 14:18:42 GMT 2024","Tue Feb 13 14:18:51 GMT 2024","8728","","User settings tests","","","","""before all"" hook for User settings tests",""
"passed","Tue Feb 13 14:19:01 GMT 2024","Tue Feb 13 14:19:02 GMT 2024","1400","","Transactions tests","","","","should like transaction",""
"passed","Tue Feb 13 14:18:58 GMT 2024","Tue Feb 13 14:19:00 GMT 2024","1093","","Login tests","","","","""before each"" hook for Login tests",""
"passed","Tue Feb 13 14:18:59 GMT 2024","Tue Feb 13 14:19:01 GMT 2024","2353","","User settings tests","","","","should change user lastname",""
"passed","Tue Feb 13 14:18:54 GMT 2024","Tue Feb 13 14:18:56 GMT 2024","1817","","Bank accounts tests","","","","should create bank account with wrong account number",""
"passed","Tue Feb 13 14:18:59 GMT 2024","Tue Feb 13 14:18:59 GMT 2024","237","","User settings tests","","","","""before each"" hook for User settings tests",""
"passed","Tue Feb 13 14:18:42 GMT 2024","Tue Feb 13 14:18:51 GMT 2024","8962","","Registration tests","","","","try to sign up without username",""
"passed","Tue Feb 13 14:18:59 GMT 2024","Tue Feb 13 14:19:00 GMT 2024","1076","","Registration tests","","","","""before each"" hook for Registration tests",""
"failed","Tue Feb 13 14:18:42 GMT 2024","Tue Feb 13 14:18:58 GMT 2024","16488","","Notifications test","","","","should dismiss notification",""
"passed","Tue Feb 13 14:18:52 GMT 2024","Tue Feb 13 14:18:55 GMT 2024","3285","","Login tests","","","","should login with invalid username",""
"passed","Tue Feb 13 14:18:51 GMT 2024","Tue Feb 13 14:18:59 GMT 2024","8202","","Registration tests","","","","should sign up with valid credentials",""
"passed","Tue Feb 13 14:19:01 GMT 2024","Tue Feb 13 14:19:01 GMT 2024","529","","Transactions tests","","","","""before each"" hook for Transactions tests",""
"passed","Tue Feb 13 14:18:50 GMT 2024","Tue Feb 13 14:18:54 GMT 2024","3424","","Bank accounts tests","","","","should create bank account with wrong routing number",""
"passed","Tue Feb 13 14:18:59 GMT 2024","Tue Feb 13 14:19:02 GMT 2024","2750","","Registration tests","","","","should sign up with wrong confirmed password",""
"passed","Tue Feb 13 14:18:56 GMT 2024","Tue Feb 13 14:18:58 GMT 2024","1504","","Transactions tests","","","","should add comment to transaction",""
"passed","Tue Feb 13 14:18:42 GMT 2024","Tue Feb 13 14:18:50 GMT 2024","8521","","Bank accounts tests","","","","""before all"" hook for Bank accounts tests",""
"passed","Tue Feb 13 14:18:42 GMT 2024","Tue Feb 13 14:18:50 GMT 2024","8442","","Transactions tests","","","","""before all"" hook for Transactions tests",""
"passed","Tue Feb 13 14:18:57 GMT 2024","Tue Feb 13 14:18:58 GMT 2024","254","","Bank accounts tests","","","","""before each"" hook for Bank accounts tests",""
"failed","Tue Feb 13 14:18:58 GMT 2024","Tue Feb 13 14:19:02 GMT 2024","3075","","Login tests","","","","should logout",""
"passed","Tue Feb 13 14:18:56 GMT 2024","Tue Feb 13 14:18:57 GMT 2024","1880","","Bank accounts tests","","","","should create new bank account",""
"passed","Tue Feb 13 14:18:42 GMT 2024","Tue Feb 13 14:18:52 GMT 2024","10126","","Login tests","","","","should login with valid credentials",""
"passed","Tue Feb 13 14:18:54 GMT 2024","Tue Feb 13 14:18:56 GMT 2024","2232","","Transactions tests","","","","should create new request transaction",""
