"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 13:44:21 GMT 2024","Tue Feb 13 13:44:31 GMT 2024","9785","","Login tests","","","","should login with valid credentials",""
"passed","Tue Feb 13 13:44:38 GMT 2024","Tue Feb 13 13:44:41 GMT 2024","3056","","Login tests","","","","should logout",""
"passed","Tue Feb 13 13:44:41 GMT 2024","Tue Feb 13 13:44:42 GMT 2024","636","","Transactions tests","","","","should like transaction",""
"passed","Tue Feb 13 13:44:39 GMT 2024","Tue Feb 13 13:44:40 GMT 2024","1498","","Registration tests","","","","""before each"" hook for Registration tests",""
"passed","Tue Feb 13 13:44:30 GMT 2024","Tue Feb 13 13:44:35 GMT 2024","4799","","Transactions tests","","","","should create new pay transaction",""
"passed","Tue Feb 13 13:44:37 GMT 2024","Tue Feb 13 13:44:38 GMT 2024","1265","","Transactions tests","","","","should add comment to transaction",""
"passed","Tue Feb 13 13:44:38 GMT 2024","Tue Feb 13 13:44:38 GMT 2024","220","","Bank accounts tests","","","","""before each"" hook for Bank accounts tests",""
"passed","Tue Feb 13 13:44:21 GMT 2024","Tue Feb 13 13:44:30 GMT 2024","8757","","User settings tests","","","","""before all"" hook for User settings tests",""
"passed","Tue Feb 13 13:44:38 GMT 2024","Tue Feb 13 13:44:40 GMT 2024","2604","","User settings tests","","","","should change user lastname",""
"passed","Tue Feb 13 13:44:31 GMT 2024","Tue Feb 13 13:44:35 GMT 2024","3683","","Login tests","","","","should login with invalid username",""
"passed","Tue Feb 13 13:44:38 GMT 2024","Tue Feb 13 13:44:38 GMT 2024","246","","User settings tests","","","","""before each"" hook for User settings tests",""
"passed","Tue Feb 13 13:44:39 GMT 2024","Tue Feb 13 13:44:41 GMT 2024","2833","","Registration tests","","","","should sign up with wrong confirmed password",""
"passed","Tue Feb 13 13:44:38 GMT 2024","Tue Feb 13 13:44:40 GMT 2024","1999","","Bank accounts tests","","","","should delete bank account",""
"passed","Tue Feb 13 13:44:30 GMT 2024","Tue Feb 13 13:44:39 GMT 2024","8353","","Registration tests","","","","should sign up with valid credentials",""
"passed","Tue Feb 13 13:44:35 GMT 2024","Tue Feb 13 13:44:37 GMT 2024","1866","","Transactions tests","","","","should create new request transaction",""
"passed","Tue Feb 13 13:44:35 GMT 2024","Tue Feb 13 13:44:38 GMT 2024","2404","","User settings tests","","","","should change user firstname",""
"passed","Tue Feb 13 13:44:35 GMT 2024","Tue Feb 13 13:44:38 GMT 2024","3106","","Login tests","","","","should login with invalid password",""
"passed","Tue Feb 13 13:44:38 GMT 2024","Tue Feb 13 13:44:39 GMT 2024","916","","Login tests","","","","""before each"" hook for Login tests",""
"passed","Tue Feb 13 13:44:41 GMT 2024","Tue Feb 13 13:44:41 GMT 2024","201","","Transactions tests","","","","""before each"" hook for Transactions tests",""
"failed","Tue Feb 13 13:44:21 GMT 2024","Tue Feb 13 13:44:33 GMT 2024","12206","","Notifications test","","","","should dismiss notification",""
"passed","Tue Feb 13 13:44:34 GMT 2024","Tue Feb 13 13:44:36 GMT 2024","1787","","Bank accounts tests","","","","should create bank account with wrong account number",""
"passed","Tue Feb 13 13:44:21 GMT 2024","Tue Feb 13 13:44:30 GMT 2024","9051","","Registration tests","","","","try to sign up without username",""
"passed","Tue Feb 13 13:44:38 GMT 2024","Tue Feb 13 13:44:41 GMT 2024","2957","","Transactions tests","","","","should add another comment to transaction",""
"passed","Tue Feb 13 13:44:21 GMT 2024","Tue Feb 13 13:44:30 GMT 2024","8790","","Bank accounts tests","","","","""before all"" hook for Bank accounts tests",""
"passed","Tue Feb 13 13:44:30 GMT 2024","Tue Feb 13 13:44:34 GMT 2024","4402","","Bank accounts tests","","","","should create bank account with wrong routing number",""
"passed","Tue Feb 13 13:44:30 GMT 2024","Tue Feb 13 13:44:35 GMT 2024","5215","","User settings tests","","","","should change user firstname and lastname",""
"passed","Tue Feb 13 13:44:36 GMT 2024","Tue Feb 13 13:44:38 GMT 2024","1420","","Bank accounts tests","","","","should create new bank account",""
"passed","Tue Feb 13 13:44:21 GMT 2024","Tue Feb 13 13:44:30 GMT 2024","8900","","Transactions tests","","","","""before all"" hook for Transactions tests",""
