"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 13:21:32 GMT 2024","Tue Feb 13 13:21:34 GMT 2024","1871","","Transactions tests","","","","should create new request transaction",""
"passed","Tue Feb 13 13:21:29 GMT 2024","Tue Feb 13 13:21:33 GMT 2024","4057","","Login tests","","","","should login with invalid username",""
"passed","Tue Feb 13 13:21:27 GMT 2024","Tue Feb 13 13:21:31 GMT 2024","3972","","Bank accounts tests","","","","should create bank account with wrong routing number",""
"failed","Tue Feb 13 13:21:19 GMT 2024","Tue Feb 13 13:21:35 GMT 2024","15720","","Notifications test","","","","should dismiss notification",""
"passed","Tue Feb 13 13:21:19 GMT 2024","Tue Feb 13 13:21:28 GMT 2024","8783","","User settings tests","","","","""before all"" hook for User settings tests",""
"passed","Tue Feb 13 13:21:38 GMT 2024","Tue Feb 13 13:21:39 GMT 2024","862","","Transactions tests","","","","should like transaction",""
"passed","Tue Feb 13 13:21:33 GMT 2024","Tue Feb 13 13:21:35 GMT 2024","2510","","User settings tests","","","","should change user firstname",""
"passed","Tue Feb 13 13:21:19 GMT 2024","Tue Feb 13 13:21:28 GMT 2024","8644","","Transactions tests","","","","""before all"" hook for Transactions tests",""
"passed","Tue Feb 13 13:21:36 GMT 2024","Tue Feb 13 13:21:39 GMT 2024","2813","","Registration tests","","","","should sign up with wrong confirmed password",""
"failed","Tue Feb 13 13:21:28 GMT 2024","Tue Feb 13 13:21:33 GMT 2024","5067","","User settings tests","","","","should change user firstname and lastname",""
"passed","Tue Feb 13 13:21:36 GMT 2024","Tue Feb 13 13:21:37 GMT 2024","940","","Login tests","","","","""before each"" hook for Login tests",""
"passed","Tue Feb 13 13:21:33 GMT 2024","Tue Feb 13 13:21:35 GMT 2024","1608","","Bank accounts tests","","","","should create new bank account",""
"passed","Tue Feb 13 13:21:31 GMT 2024","Tue Feb 13 13:21:33 GMT 2024","1497","","Bank accounts tests","","","","should create bank account with wrong account number",""
"passed","Tue Feb 13 13:21:36 GMT 2024","Tue Feb 13 13:21:39 GMT 2024","2791","","Login tests","","","","should logout",""
"passed","Tue Feb 13 13:21:35 GMT 2024","Tue Feb 13 13:21:35 GMT 2024","220","","Bank accounts tests","","","","""before each"" hook for Bank accounts tests",""
"passed","Tue Feb 13 13:21:33 GMT 2024","Tue Feb 13 13:21:36 GMT 2024","2595","","Login tests","","","","should login with invalid password",""
"passed","Tue Feb 13 13:21:35 GMT 2024","Tue Feb 13 13:21:38 GMT 2024","2459","","User settings tests","","","","should change user lastname",""
"passed","Tue Feb 13 13:21:35 GMT 2024","Tue Feb 13 13:21:36 GMT 2024","1664","","Bank accounts tests","","","","should delete bank account",""
"passed","Tue Feb 13 13:21:35 GMT 2024","Tue Feb 13 13:21:38 GMT 2024","2855","","Transactions tests","","","","should add another comment to transaction",""
"passed","Tue Feb 13 13:21:28 GMT 2024","Tue Feb 13 13:21:32 GMT 2024","4539","","Transactions tests","","","","should create new pay transaction",""
"passed","Tue Feb 13 13:21:19 GMT 2024","Tue Feb 13 13:21:27 GMT 2024","8530","","Bank accounts tests","","","","""before all"" hook for Bank accounts tests",""
"passed","Tue Feb 13 13:21:28 GMT 2024","Tue Feb 13 13:21:36 GMT 2024","8242","","Registration tests","","","","should sign up with valid credentials",""
"passed","Tue Feb 13 13:21:19 GMT 2024","Tue Feb 13 13:21:29 GMT 2024","10173","","Login tests","","","","should login with valid credentials",""
"passed","Tue Feb 13 13:21:38 GMT 2024","Tue Feb 13 13:21:39 GMT 2024","381","","Transactions tests","","","","""before each"" hook for Transactions tests",""
"passed","Tue Feb 13 13:21:36 GMT 2024","Tue Feb 13 13:21:37 GMT 2024","1202","","Registration tests","","","","""before each"" hook for Registration tests",""
"passed","Tue Feb 13 13:21:19 GMT 2024","Tue Feb 13 13:21:28 GMT 2024","9018","","Registration tests","","","","try to sign up without username",""
"passed","Tue Feb 13 13:21:34 GMT 2024","Tue Feb 13 13:21:35 GMT 2024","1450","","Transactions tests","","","","should add comment to transaction",""
